id,name,rank,city_id,image
29,Gcu Glasgow School For Business And Society,NULL,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/96/96194_thumb.jpg"
30,Paneuropean University Apeiron Panevropski Univerzitet Apeiron,NULL,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/16/165063_paneuropeanlogo.jpeg"
31,Sierra Nevada College,NULL,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/14/148648_403_sierra_nevada_college.png"
32,Bridgewater College,NULL,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/14/145559_download63.png"
33,Lund University,87,NULL,NULL
34,Rochester Institute Of Technology Rit,1001,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/11/118042_RIT_1505C_hor_k.jpg"
35,National University Costa Rica,531,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/15/153749_CostaRica.png"
36,The Pennsylvania State University Penn State Great Valley School Of Graduate Professional Studies,NULL,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/16/164038_download12.jpg"
37,Southern New Hampshire University,NULL,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/12/122066_SNHU-Abbreviated1.png"
38,Reinhardt University,NULL,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/14/140052_reinhardt.png"
39,Gisma Ulaw,NULL,246.0,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/12/127541_GISMAULawLogo720x720.png"
40,Rostov State University Of Economics,NULL,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/92/92570_thumb.jpg"
41,Enaco,NULL,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/93/93070_thumb.jpg"
42,Aihe Academic Institute For Higher Education Gmbh,NULL,253.0,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/14/142884_Logo2020Regular.jpg"
43,Columbia Southern University College Of Safety And Emergency Services,NULL,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/14/146231_logo_Email_250x85.png"
44,Cyprus International Institute Of Management,NULL,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/14/147695_ciim-logo.jpg"
45,Campbellsville University Online,NULL,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/12/126576_CU-logo-online-2c.jpg"
46,Wroclaw University Of Science And Technology,801,619.0,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/15/155970_WUSTLogo_1000x240px.png"
47,Porto Polytechnic Institute,NULL,626.0,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/15/155735_porto.png"
48,Dublin City University,490,379.0,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/94/94489_thumb.jpg"
49,St Thomas Aquinas College,NULL,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/14/143398_download9.png"
50,Anna Maria College Online,NULL,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/11/113204_AMC_Red-Vertical-02.png"
51,Georgia Southern University,NULL,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/11/114625_17796625_10155150600559042_6379167554867800422_n.jpg"
52,Trinity College Dublin Business School,NULL,379.0,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/94/94906_thumb.jpg"
53,Johns Hopkins University Advanced Academic Programs,NULL,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/97/97065_thumb.jpg"
