id,field_of_study,name,duration,url,language,mode,deadline,schedule,tution_amount,tution_currency,university_id
47,ADMINISTRATION,Masters Degree In Training Processes,24.0,,Gallegan,CAMPUS,,PARTTIME,854.0,EUR,28
48,ADMINISTRATION,Masters Degree In Training Processes,24.0,,Gallegan,ONLINE,,FULLTIME,854.0,EUR,28
49,ADMINISTRATION,Masters Degree In Training Processes,24.0,,Gallegan,ONLINE,,PARTTIME,854.0,EUR,28
50,ADMINISTRATION,Msc In Human Resource Management,36.0,,English,CAMPUS,,FULLTIME,5500.0,GBP,46
51,ADMINISTRATION,Msc In Human Resource Management,36.0,,English,CAMPUS,,PARTTIME,5500.0,GBP,46
52,ADMINISTRATION,Master Of Traffic And Transport,,,Serbian,CAMPUS,,,,,30
53,ADMINISTRATION,Master Of Education In Administration,,,English,CAMPUS,,,,,31
54,ADMINISTRATION,Master Of Science In Human Resource Management,,,,CAMPUS,,,,,9
55,ADMINISTRATION,Msc In Managing People Knowledge And Change,,,English,CAMPUS,,FULLTIME,,,33
56,ADMINISTRATION,Master Of Science In Human Resource Development,24.0,,English,CAMPUS,,FULLTIME,47522.0,USD,34
57,ADMINISTRATION,Master Of Science In Human Resource Development,24.0,,English,ONLINE,,FULLTIME,47522.0,USD,34
58,ADMINISTRATION,Master In Global Sourcing And Logistics,,,Spanish,CAMPUS,,,,,35
59,ADMINISTRATION,Master Of Business Administration,,,English,CAMPUS,,,,,494
60,ADMINISTRATION,Master In Project And Operations Management,2.0,,Spanish,ONLINE,,FULLTIME,8130.0,USD,37
61,ADMINISTRATION,Master In Project And Operations Management,2.0,,Spanish,ONLINE,,PARTTIME,8130.0,USD,37
62,ADMINISTRATION,Master Of Public Administration,,,English,,,,,,519
63,ADMINISTRATION,Msc Project Management,,,English,CAMPUS,,FULLTIME,17000.0,EUR,192
64,ADMINISTRATION,Master In Logistics,24.0,,,CAMPUS,,FULLTIME,,,372
65,ADMINISTRATION,Master In Logistics,24.0,,,CAMPUS,,PARTTIME,,,372
66,ADMINISTRATION,European Master In Human Resources Management,36.0,,French,ONLINE,,FULLTIME,3739.0,EUR,41
67,ADMINISTRATION,European Master In Human Resources Management,36.0,,French,ONLINE,,PARTTIME,3739.0,EUR,41
68,ADMINISTRATION,Msc Behavioral Psychology And Organizational Psychology,,,German,ONLINE,,FULLTIME,11850.0,EUR,42
69,ADMINISTRATION,Msc Behavioral Psychology And Organizational Psychology,,,German,ONLINE,,PARTTIME,11850.0,EUR,42
70,ADMINISTRATION,Master Of Science In Criminal Justice Administration,,,English,ONLINE,,,,,187
71,ADMINISTRATION,Msc In Shipping Operations Management,15.0,,English,ONLINE,,FULLTIME,8000.0,EUR,44
72,ADMINISTRATION,Ma In Sport Management Administration,24.0,,English,ONLINE,,FULLTIME,,,45
73,ADMINISTRATION,Ma In Sport Management Administration,24.0,,English,ONLINE,,PARTTIME,,,45
74,ADMINISTRATION,Msc In Human Resource Management,16.0,,English,CAMPUS,,FULLTIME,2000.0,EUR,46
75,ADMINISTRATION,Master In Human Resources Management And Development,,,Portuguese (Portugal),CAMPUS,,,,,47
76,ADMINISTRATION,Msc In Human Resource Management,,,English,CAMPUS,,FULLTIME,7955.0,EUR,46
77,ADMINISTRATION,Masters Degree In Criminal Justice Administration,,,,CAMPUS,,,,,49
78,ADMINISTRATION,Master Of Public Administration Criminal Justice,24.0,,English,ONLINE,,PARTTIME,,,50
79,ADMINISTRATION,Master Of Public Administration,24.0,http://cogs.georgiasouthern.edu/admission/all-graduate-programs/gradprogramsbycollege/public-administration-programs/mpa/,English,CAMPUS,,FULLTIME,9406.0,USD,519
80,ADMINISTRATION,Msc In Human Resource Management,12.0,,English,CAMPUS,,FULLTIME,15250.0,EUR,46
81,ADMINISTRATION,Master Of Science In Research Administration,60.0,,English,ONLINE,,PARTTIME,,,53
82,ADMINISTRATION,Master Of Public Administration,,,English,,,,,,519
83,ADMINISTRATION,Msc In Management Human Resource Management,24.0,,English,CAMPUS,,FULLTIME,18500.0,GBP,55
84,ADMINISTRATION,Msc In Management Human Resource Management,24.0,,English,CAMPUS,,PARTTIME,18500.0,GBP,55
85,ADMINISTRATION,Master Of Arts In Educational Administration,24.0,,English,ONLINE,,FULLTIME,,,2303
86,ADMINISTRATION,Master Of Logistics Management Advanced,,,English,CAMPUS,,,,,57
87,ADMINISTRATION,Government Master Of Arts,,,English,,,,,,58
88,ADMINISTRATION,Mba Ma In Responsible Management,36.0,,English,ONLINE_AND_CAMPUS COMBINED,,PARTTIME,,,59
89,ADMINISTRATION,Mba Ma In Responsible Management,36.0,,English,CAMPUS,,PARTTIME,,,59
90,ADMINISTRATION,Mba Ma In Responsible Management,36.0,,English,ONLINE,,PARTTIME,,,59
91,ADMINISTRATION,Master In People Management And Organizational Effectiveness,,,Spanish (Chile),CAMPUS,,,,,60
92,ADMINISTRATION,Master Of Nonprofit Administration,,,English,CAMPUS,,,,,329
93,ADMINISTRATION,Master Of Production Management Logistics Purchasing,24.0,,French,CAMPUS,,FULLTIME,,,62
94,ADMINISTRATION,Ma In Human Resource Management Cipd Level,23.0,https://informaconnect.com/ma-in-human-resource-management/?vip_code=FKW12666EXLKEYSTONE,,ONLINE,,PARTTIME,,,63
95,ADMINISTRATION,Master Of Public Administration,36.0,,English,CAMPUS,,FULLTIME,3149.0,USD,519
96,ADMINISTRATION,Master Of Public Administration,36.0,,English,CAMPUS,,PARTTIME,3149.0,USD,519
97,ADMINISTRATION,Master In Administration In International Organizations,24.0,,English,CAMPUS,,FULLTIME,,,65
98,ADMINISTRATION,Masters Degree In Management And People Management,,,Spanish,ONLINE_AND_CAMPUS COMBINED,,FULLTIME,830.0,EUR,66
99,ADMINISTRATION,Masters Degree In Management And People Management,,,Spanish,CAMPUS,,FULLTIME,830.0,EUR,66
100,ADMINISTRATION,Masters Degree In Management And People Management,,,Spanish,ONLINE,,FULLTIME,830.0,EUR,66
101,ADMINISTRATION,Msc In Technology And Operations Management,,,English,CAMPUS,,FULLTIME,2168.0,EUR,15
102,ADMINISTRATION,Specialization In Administrative Institutions Of Public Finance,,,Spanish (Mexican),CAMPUS,,,,,67
103,ADMINISTRATION,Master Of Public Administration,24.0,,,CAMPUS,,FULLTIME,,,519
104,ADMINISTRATION,Ma In Human Resource Counselling,24.0,,English,CAMPUS,,FULLTIME,1900.0,EUR,NULL
105,ADMINISTRATION,Executive Master Of Public Administration,24.0,,English,CAMPUS,,FULLTIME,34500.0,EUR,70
106,ADMINISTRATION,Executive Master Of Public Administration,24.0,,English,CAMPUS,,PARTTIME,34500.0,EUR,70
