id,field_of_study,name,duration,url,language,mode,deadline,schedule,tution_amount,tution_currency,university_id
1039,ADMINISTRATION,Master In Human Resources Digitization Hr People Analytics Onsite,,,Spanish,CAMPUS,,FULLTIME,15200.0,EUR,5
1040,ADMINISTRATION,Master In Politics Administration International Relations,24.0,,German,CAMPUS,,FULLTIME,17520.0,EUR,537
1041,ADMINISTRATION,Master Of Human Resources Management Mhrm,24.0,,English,CAMPUS,,FULLTIME,189000.0,HKD,202
1042,ADMINISTRATION,Master Of Human Resources Management Mhrm,24.0,,English,CAMPUS,,PARTTIME,189000.0,HKD,202
1043,ADMINISTRATION,Msc In International Human Resource Management,,,English,CAMPUS,,FULLTIME,15400.0,GBP,144
1044,ADMINISTRATION,Master Of Science In Mathematics And Operations Research,24.0,,English,CAMPUS,,FULLTIME,15000.0,EUR,538
1045,ADMINISTRATION,Official Masters Degree In Health Management And Management,,,Spanish,ONLINE,,PARTTIME,5250.0,EUR,423
1046,ARCHITECTURE,Msc In Architecture,12.0,,English,CAMPUS,,FULLTIME,2000.0,EUR,739
1047,ARCHITECTURE,Public And Urban Policy Ms,24.0,https://www.newschool.edu/m/urban-policy/?utm_source=masterstudies&utm_medium=hyperlink_listing&utm_campaign=pm_milano&utm_term=public_policy,English,CAMPUS,,FULLTIME,1710.0,USD,539
1048,ARCHITECTURE,Public And Urban Policy Ms,24.0,https://www.newschool.edu/m/urban-policy/?utm_source=masterstudies&utm_medium=hyperlink_listing&utm_campaign=pm_milano&utm_term=public_policy,English,CAMPUS,,PARTTIME,1710.0,USD,539
1049,ARCHITECTURE,Master Of Architecture Research,48.0,,English,CAMPUS,,FULLTIME,,,156
1050,ARCHITECTURE,Master Of Architecture Research,48.0,,English,CAMPUS,,PARTTIME,,,156
1051,ARCHITECTURE,Master Of Landscape Architecture,,,English,,,,,,598
1052,ARCHITECTURE,Master Of Arts In Landscape Architecture,16.0,,English,CAMPUS,,FULLTIME,,,541
1053,ARCHITECTURE,Master Of Arts In Landscape Architecture,16.0,,English,CAMPUS,,PARTTIME,,,541
1054,ARCHITECTURE,Master Of Landscape Architecture,,,English,,,,,,598
1055,ARCHITECTURE,Master In Architecture,,,Japanese,CAMPUS,,,,,567
1056,ARCHITECTURE,Master Of Architecture,24.0,,English (UK),CAMPUS,,FULLTIME,190000.0,SAR,567
1057,ARCHITECTURE,Master Of Architecture,24.0,,English (UK),CAMPUS,,PARTTIME,190000.0,SAR,567
1058,ARCHITECTURE,Ms In Architecture,24.0,,English,CAMPUS,,FULLTIME,42120.0,USD,739
1059,ARCHITECTURE,Master In Sustainable Design,12.0,,English,ONLINE_AND_CAMPUS COMBINED,,FULLTIME,12000.0,EUR,546
1060,ARCHITECTURE,Master In Sustainable Design,12.0,,English,CAMPUS,,FULLTIME,12000.0,EUR,546
1061,ARCHITECTURE,Master In Sustainable Design,12.0,,English,ONLINE,,FULLTIME,12000.0,EUR,546
1062,ARCHITECTURE,Master In Architecture And Urban Design,,,Japanese,CAMPUS,,,,,741
1063,ARCHITECTURE,International Master Of Landscape Architecture,,,English,CAMPUS,,,,,548
1064,ARCHITECTURE,Master In Renovation Of Buildings And Facilities,,,English,CAMPUS,,FULLTIME,,,549
1065,ARCHITECTURE,Master Of Conservation Of Monuments And Sites Leuven,24.0,http://www.kuleuven.be/onlineopendays,English,CAMPUS,,FULLTIME,,,148
1066,ARCHITECTURE,Master Of Conservation Of Monuments And Sites Leuven,24.0,http://www.kuleuven.be/onlineopendays,English,CAMPUS,,PARTTIME,,,148
1067,ARCHITECTURE,Master In Interior Design And Bim Architecture,7.0,,Spanish,CAMPUS,,FULLTIME,3250.0,EUR,550
1068,ARCHITECTURE,Master In Interior Design And Bim Architecture,7.0,,Spanish,CAMPUS,,PARTTIME,3250.0,EUR,550
1069,ARCHITECTURE,Master In Interior Design And Bim Architecture,7.0,,Spanish,ONLINE,,FULLTIME,3250.0,EUR,550
1070,ARCHITECTURE,Master In Interior Design And Bim Architecture,7.0,,Spanish,ONLINE,,PARTTIME,3250.0,EUR,550
1071,ARCHITECTURE,Urban And Regional Planning Ma,,https://www.westminster.ac.uk/urban-and-regional-planning-ma?utm_source=keystone&utm_medium=directory&utm_campaign=2020_profiles_ks_dy_b1_dcdi_arch_urban_regional_planning_ma,English,CAMPUS,,FULLTIME,12500.0,GBP,128
1072,ARCHITECTURE,Msc In Infrastructure And Smart Cities Managing And Developing Physical And Digital Infrastructures For Futureproof Cities,,,English,CAMPUS,,FULLTIME,14900.0,EUR,18
1073,ARCHITECTURE,Master Of Arts In Architecture,18.0,,German,CAMPUS,,FULLTIME,690.0,EUR,551
1074,ARCHITECTURE,Master Of Architecture,,,Spanish (Mexican),CAMPUS,,,,,567
1075,ARCHITECTURE,Master Of Supercities,,,English,CAMPUS,,FULLTIME,22900.0,EUR,553
1076,ARCHITECTURE,Master In Real Estate Urbanism Environment And Smart Cities,,,Spanish,ONLINE_AND_CAMPUS COMBINED,,FULLTIME,,,554
1077,ARCHITECTURE,Master In Real Estate Urbanism Environment And Smart Cities,,,Spanish,ONLINE_AND_CAMPUS COMBINED,,PARTTIME,,,554
1078,ARCHITECTURE,Master In Real Estate Urbanism Environment And Smart Cities,,,Spanish,CAMPUS,,FULLTIME,,,554
1079,ARCHITECTURE,Master In Real Estate Urbanism Environment And Smart Cities,,,Spanish,CAMPUS,,PARTTIME,,,554
1080,ARCHITECTURE,Master In Real Estate Urbanism Environment And Smart Cities,,,Spanish,ONLINE,,FULLTIME,,,554
1081,ARCHITECTURE,Master In Real Estate Urbanism Environment And Smart Cities,,,Spanish,ONLINE,,PARTTIME,,,554
1082,ARCHITECTURE,Master In Urban Governance,,,English,CAMPUS,,FULLTIME,,,18
1083,ARCHITECTURE,Masters In Historical Studies,24.0,,English,CAMPUS,,FULLTIME,2066.0,USD,555
1084,ARCHITECTURE,Master Of Science In Architecture Degree The Research Program,,,English,,,,,,556
1085,ARCHITECTURE,Master In Architecture,,,Chinese,CAMPUS,,,,,567
1086,ARCHITECTURE,Master Of Science In Urban Studies Cities,24.0,,English,CAMPUS,,FULLTIME,3000.0,EUR,558
1087,ARCHITECTURE,Specialization In Urban Law,,,Spanish (Colombia),CAMPUS,,,,,559
1088,ARCHITECTURE,March Architecture,24.0,,English,CAMPUS,,FULLTIME,25600.0,EUR,208
1089,ARCHITECTURE,Master Design For Public Space,,,English,ONLINE_AND_CAMPUS COMBINED,,FULLTIME,12500.0,EUR,561
1090,ARCHITECTURE,Master Design For Public Space,,,English,CAMPUS,,FULLTIME,12500.0,EUR,561
1091,ARCHITECTURE,Master Design For Public Space,,,English,ONLINE,,FULLTIME,12500.0,EUR,561
1092,ARCHITECTURE,Postprofessional Ms In Design Energy Futures,12.0,,English,CAMPUS,,FULLTIME,,,562
1093,ARCHITECTURE,Masters Degree Course In Architecture Interior Design And For Autonomy In English With The East China Normal University Of Shanghai China,24.0,,English,CAMPUS,,FULLTIME,,,563
1094,ARCHITECTURE,Masters Degree In Landscape Architecture Juana De Vega,,,Spanish,CAMPUS,,FULLTIME,1463.0,EUR,326
1095,ARCHITECTURE,Masters Degree In Regional And Local Development,24.0,,French,CAMPUS,,FULLTIME,,,564
1096,ARCHITECTURE,Masters Degree In Regional And Local Development,24.0,,Spanish,CAMPUS,,FULLTIME,,,564
1097,ARCHITECTURE,Master In Architecture,,,,CAMPUS,,FULLTIME,,,567
1098,ARCHITECTURE,Masters In Planning,,,Spanish,CAMPUS,,FULLTIME,,,566
1099,ARCHITECTURE,Master Of Science In Architecture,12.0,,English,CAMPUS,,FULLTIME,6000.0,PLN,538
1100,ARCHITECTURE,Master Of Science In Interior Architecture Msia,,,English,,,,,,568
1101,ARCHITECTURE,Master In Interior Architecture,24.0,,French,ONLINE_AND_CAMPUS COMBINED,,FULLTIME,16254.0,USD,NULL
1102,ARCHITECTURE,Master In Interior Architecture,24.0,,French,CAMPUS,,FULLTIME,16254.0,USD,NULL
1103,ARCHITECTURE,Master In Interior Architecture,24.0,,French,ONLINE,,FULLTIME,16254.0,USD,NULL
1104,ARCHITECTURE,Ma Interior Architecture And Design,24.0,,English,CAMPUS,,FULLTIME,13950.0,GBP,363
1105,ARCHITECTURE,Ma Interior Architecture And Design,24.0,,English,CAMPUS,,PARTTIME,13950.0,GBP,363
1106,ARCHITECTURE,Msc In Architecture Without Thesis,18.0,,English,CAMPUS,,FULLTIME,6500.0,USD,176
1107,ARCHITECTURE,Master Of Landscape Architecture,24.0,,English,CAMPUS,,FULLTIME,88000.0,SGD,598
1108,ARCHITECTURE,Mastre Spcialis Manager In Energy Transition Of Urban Systems,,,French,CAMPUS,,FULLTIME,10500.0,EUR,572
1109,ARCHITECTURE,Mastre Spcialis Manager In Energy Transition Of Urban Systems,,,French,CAMPUS,,PARTTIME,10500.0,EUR,572
1110,ARCHITECTURE,Mla Master Of Landscape Architecture,,,English,,,,,,598
1111,ARCHITECTURE,Master Of Science In Urban Studies,24.0,,English,CAMPUS,,FULLTIME,962.0,EUR,558
1112,ARCHITECTURE,Master Of Science In Architecture,16.0,,Italian,CAMPUS,,FULLTIME,4000.0,CHF,538
1113,ARCHITECTURE,Master Of Science In Architecture,16.0,,English,CAMPUS,,FULLTIME,4000.0,CHF,538
1114,ARCHITECTURE,Master Of Architecture I Year Track,28.0,https://grad.arc.miami.edu/index.html,English,CAMPUS,,FULLTIME,2100.0,USD,575
1115,ARCHITECTURE,Master In Comprehensive Urban Solid Waste Management,,,Spanish (Argentina),CAMPUS,,,,,576
1116,ARCHITECTURE,Master In Architecture And Urbanism,,,Spanish (Mexican),CAMPUS,,,,,764
1117,ARCHITECTURE,Masters Degree Of Engineering Major In Internet Of Things And Smart Cities,24.0,,English,CAMPUS,,FULLTIME,12750.0,EUR,578
1118,ARCHITECTURE,Master In Landscape Architecture,24.0,,English,CAMPUS,,FULLTIME,132000.0,CZK,598
1119,ARCHITECTURE,Master In Architecture And Interior Design,8.0,,Spanish,CAMPUS,,PARTTIME,,,580
1120,ARCHITECTURE,Master In Architecture,,,English,CAMPUS,,FULLTIME,,,567
1121,ARCHITECTURE,Master In Architecture,,,English,CAMPUS,,PARTTIME,,,567
1122,ARCHITECTURE,Master Of Architectural Design,24.0,,English,CAMPUS,,FULLTIME,192000.0,CNY,479
1123,ARCHITECTURE,Information Architecture Digital Interaction Design,,,Portuguese (Brazil),CAMPUS,,,,,NULL
1124,ARCHITECTURE,Urban Planning And Landscape,,,Chinese,CAMPUS,,,,,583
1125,ARCHITECTURE,Master Of Urban Design And Regional Planning,48.0,,English,CAMPUS,,FULLTIME,7400.0,HKD,584
1126,ARCHITECTURE,Master Of Urban Design And Regional Planning,48.0,,English,CAMPUS,,PARTTIME,7400.0,HKD,584
1127,ARCHITECTURE,Ms In Urban And Regional Planning,,,English,,,,,,556
1128,ARCHITECTURE,Landscape Architecture Landscape Gardening And Landscape Construction Masters Degree,60.0,,Russian,CAMPUS,,FULLTIME,,,585
1129,ARCHITECTURE,Landscape Architecture Landscape Gardening And Landscape Construction Masters Degree,60.0,,Russian,CAMPUS,,PARTTIME,,,585
1130,ARCHITECTURE,Masters Degree In Landscape Architecture,24.0,,English,ONLINE_AND_CAMPUS COMBINED,,FULLTIME,1000.0,EUR,586
1131,ARCHITECTURE,Masters Degree In Landscape Architecture,24.0,,English,CAMPUS,,FULLTIME,1000.0,EUR,586
1132,ARCHITECTURE,Masters Degree In Landscape Architecture,24.0,,English,ONLINE,,FULLTIME,1000.0,EUR,586
1133,ARCHITECTURE,Masters Degree In Landscape Architecture,24.0,,Italian,ONLINE_AND_CAMPUS COMBINED,,FULLTIME,1000.0,EUR,586
1134,ARCHITECTURE,Masters Degree In Landscape Architecture,24.0,,Italian,CAMPUS,,FULLTIME,1000.0,EUR,586
1135,ARCHITECTURE,Masters Degree In Landscape Architecture,24.0,,Italian,ONLINE,,FULLTIME,1000.0,EUR,586
1136,ARCHITECTURE,Master In Landscape Planning,,,English,CAMPUS,,FULLTIME,,,587
1137,ARCHITECTURE,Masters Degree In City Resilience Design And Management,,,English,CAMPUS,,FULLTIME,9480.0,EUR,588
1138,ARCHITECTURE,Postgraduate Program In Architecture And Urbanism,,,Portuguese (Brazil),CAMPUS,,,,,589
1139,ARCHITECTURE,Master In Urban And Regional Planning,18.0,,English,CAMPUS,,FULLTIME,,,556
1140,ARCHITECTURE,Master Of Urban Design,,,English,,,,,,471
1141,ARCHITECTURE,Master Of Architecture March,36.0,,English,CAMPUS,,FULLTIME,10400.0,GBP,156
1142,ARCHITECTURE,Master Of Architecture March,36.0,,English,CAMPUS,,PARTTIME,10400.0,GBP,156
1143,ARCHITECTURE,Msc In Strategic Urban Planning And Policies Managing Sociospatial Dynamics For Sustainable Cities,,,English,CAMPUS,,FULLTIME,14900.0,EUR,18
1144,ARCHITECTURE,Master Of Urban Spatial Analytics,,,English,CAMPUS,,,,,593
1145,ARCHITECTURE,Masters Degree In Architecture,,,Spanish,CAMPUS,,FULLTIME,1463.0,EUR,648
1146,ARCHITECTURE,Master In Transport Mobility And Innovation Eit Urban Mobility,24.0,,English,CAMPUS,,FULLTIME,16000.0,EUR,594
1147,ARCHITECTURE,Master Of Architecture Professional Degree Program,36.0,,English,CAMPUS,,FULLTIME,,,562
1148,ARCHITECTURE,Msc In Architecture And Urban Planning,16.0,,English,CAMPUS,,FULLTIME,13800.0,OMR,793
1149,ARCHITECTURE,Msc In Architecture And Urban Planning,16.0,,English,CAMPUS,,PARTTIME,13800.0,OMR,793
1150,ARCHITECTURE,Aiado Master Of Architecture,,,English,,,,,,596
1151,ARCHITECTURE,Master Of Interior Architecture Object Design,60.0,,English,CAMPUS,,FULLTIME,51000.0,EUR,597
1152,ARCHITECTURE,Master Of Interior Architecture Object Design,60.0,,French,CAMPUS,,FULLTIME,51000.0,EUR,597
1153,ARCHITECTURE,Master Of Arts In Architectural Conservation Maarc,,,English,CAMPUS,,FULLTIME,41000.0,SGD,571
1154,ARCHITECTURE,Master Of Architecture M Arch,,,English,,,,,,776
1155,ARCHITECTURE,Master Of Education In Urban Education Urbnedu M Ed,,,English,,,,,,599
1156,ARCHITECTURE,Master In Building Engineeringarchitecture Architectural Engineering,24.0,https://www.unibo.it/en/university/covid-19-The-measures-adopted-by-the-University-of-Bologna/covid-misure-universita-di-bologna/?utm_source=Keystone&utm_campaign=Keystone&utm_medium=KeystoneListing,English,CAMPUS,,FULLTIME,,,380
1157,ARCHITECTURE,Master In Architectural Design,,,Spanish (Mexican),CAMPUS,,,,,479
1158,ARCHITECTURE,Master Of Science In Architecture In Real Estate Development,,,English,CAMPUS,,,,,601
1159,ARCHITECTURE,Master Of Architecture,18.0,,,CAMPUS,,FULLTIME,70480.0,AUD,567
1160,ARCHITECTURE,Architecture,,,Russian,CAMPUS,,,,,NULL
1161,ARCHITECTURE,Master In Territorial And Urban Development,,,Spanish (Argentina),CAMPUS,,,,,770
1162,ARCHITECTURE,Masters Degree In Smart And Sustainable Cities,8.0,https://www.ucm.es/masterciudadesinteligentesysostenibles/,Spanish,CAMPUS,,FULLTIME,45.0,EUR,338
1163,ARCHITECTURE,Masters Degree In Smart And Sustainable Cities,8.0,https://www.ucm.es/masterciudadesinteligentesysostenibles/,Spanish,CAMPUS,,PARTTIME,45.0,EUR,338
1164,ARCHITECTURE,Ma In Interior And Spatial Design,24.0,,English,CAMPUS,,FULLTIME,3800.0,USD,232
1165,ARCHITECTURE,March Architecture Design,,,English,CAMPUS,,FULLTIME,7785.0,GBP,605
1166,ARCHITECTURE,Master Of Architecture,28.0,,English,CAMPUS,,FULLTIME,221.0,USD,567
1167,ARCHITECTURE,Architecture,,,English,,,,,,NULL
1168,ARCHITECTURE,Architecture,,,German,,,,,,NULL
1169,ARCHITECTURE,Master Of Interior Architecture,,,English,CAMPUS,,,,,NULL
1170,ARCHITECTURE,Specialized Master In Wastewater And Rainwater Management,,,French,CAMPUS,,FULLTIME,9950.0,EUR,609
1171,ARCHITECTURE,Masters Degree In Landscape Planning And Management,,,Spanish (Argentina),CAMPUS,,,,,610
1172,ARCHITECTURE,University Masters Degree In Biodigital Architecture Official,,,English,CAMPUS,,FULLTIME,9180.0,EUR,588
1173,ARCHITECTURE,Master In Urban Design,,,Spanish (Mexican),CAMPUS,,,,,471
1174,ARCHITECTURE,Master In Building Information Modeling Management Bim,18.0,,Spanish,ONLINE_AND_CAMPUS COMBINED,,FULLTIME,,,612
1175,ARCHITECTURE,Master In Building Information Modeling Management Bim,18.0,,Spanish,CAMPUS,,FULLTIME,,,612
1176,ARCHITECTURE,Master In Building Information Modeling Management Bim,18.0,,Spanish,ONLINE,,FULLTIME,,,612
1177,ARCHITECTURE,Ma In Urban Design,24.0,,English,CAMPUS,,FULLTIME,15900.0,GBP,182
1178,ARCHITECTURE,Ma In Urban Design,24.0,,English,CAMPUS,,PARTTIME,15900.0,GBP,182
1179,ARCHITECTURE,Master Of Urban And Regional Planning,,,English,,,,,,584
1180,ARCHITECTURE,Graduate Program In Architecture And Urbanism,,,Portuguese (Brazil),CAMPUS,,,,,589
1181,ARCHITECTURE,Master In Architecture And Urbanism,,,Portuguese (Brazil),CAMPUS,,,,,764
1182,ARCHITECTURE,Master Of Interior Architecture Interior Design And Decoration Own Title Udima,,,Spanish,CAMPUS,,PARTTIME,5400.0,EUR,615
1183,ARCHITECTURE,Official University Masters Degree In Global Design Interior Design And Architecture,9.0,,Spanish,CAMPUS,,FULLTIME,7900.0,EUR,616
1184,ARCHITECTURE,Msc In Architectural Design And History,24.0,,English,CAMPUS,,FULLTIME,3898.0,EUR,617
1185,ARCHITECTURE,Landscape Development Master Of Science Msc,,,German,CAMPUS,,,,,618
1186,ARCHITECTURE,Masters In Urban Regeneration Rehabilitation And Design Online,9.0,,Spanish,ONLINE,,PARTTIME,4500.0,EUR,580
1187,ARCHITECTURE,Master Of Science In The Design Of Cities,,,English,CAMPUS,,FULLTIME,23908.0,USD,619
1188,ARCHITECTURE,Master Of Architecture M Arch,,,English,CAMPUS,,,,,776
1189,ARCHITECTURE,Master Of Science In Built Environment By Research,48.0,,English,CAMPUS,,FULLTIME,27400.0,,620
1190,ARCHITECTURE,Master Of Science In Built Environment By Research,48.0,,English,CAMPUS,,PARTTIME,27400.0,,620
1191,ARCHITECTURE,Master Of Architecture March,,,English,,,,,,156
1192,ARCHITECTURE,Ms In Interior Architecture,36.0,,English,CAMPUS,,FULLTIME,57330.0,USD,NULL
1193,ARCHITECTURE,Ms In Interior Architecture,36.0,,English,CAMPUS,,PARTTIME,57330.0,USD,NULL
1194,ARCHITECTURE,Masters Degree In Landscape Architecture Landscape Planning And Design,,,Spanish (Argentina),CAMPUS,,,,,622
1195,ARCHITECTURE,Msc Urban And Environmental Policy And Planning Joint Degree With Civil And Environmental Engineering,24.0,,English,CAMPUS,,FULLTIME,38024.0,USD,623
1196,ARCHITECTURE,Master Of Architecture,36.0,,English,CAMPUS,,FULLTIME,47522.0,USD,567
1197,ARCHITECTURE,Master In Interior Design,11.0,https://www.ied.edu/uncategorized/blog/ied-open-days-master/68849?campaignId=70169000002NwyE&utm_source=masterstudies&utm_medium=display&utm_campaign=2122_gruppo_estero_x_open_day_settembre&utm_content=article,English,CAMPUS,,FULLTIME,19200.0,EUR,624
1198,ARCHITECTURE,Msc Urban Planning,18.0,,English,CAMPUS,,FULLTIME,120000.0,CNY,479
1199,ARCHITECTURE,Specialized Master In Urban Engineering And Information Technologies,,,French,CAMPUS,,FULLTIME,9950.0,EUR,609
1200,ARCHITECTURE,Master In Architecture,,,Korean,CAMPUS,,,,,567
1201,ARCHITECTURE,Master Of Architectural Design And Urbanism Madu,,,English,,,,,,621
1202,ARCHITECTURE,Master Of Science In Urban Forestry,,,English,,,,,,626
1203,ARCHITECTURE,Master Of Building Science,,,English,,,,,,627
1204,ARCHITECTURE,Master In Urban Management,,,Spanish (Colombia),CAMPUS,,,,,455
1205,ARCHITECTURE,Master Of Science In Advanced Architectural Design,,,English,,,,,,628
1206,ARCHITECTURE,March Architecture,24.0,,English,CAMPUS,,FULLTIME,21400.0,GBP,208
1207,ARCHITECTURE,Msc In Architecture Building Architecture,24.0,,English,CAMPUS,,FULLTIME,3898.0,EUR,617
1208,ARCHITECTURE,Master Of Architecture,,,English,CAMPUS,,,,,567
1209,ARCHITECTURE,Msc In Interior Architecture With Thesis,24.0,,English,CAMPUS,,FULLTIME,6500.0,USD,176
1210,ARCHITECTURE,Reconstruction And Restoration Of Architectural Heritage Design And Research Of Architectural Monuments Masters Degree,24.0,,Russian,CAMPUS,,FULLTIME,,,630
1211,ARCHITECTURE,Mst In Interdisciplinary Design For The Built Environment,24.0,,English,ONLINE_AND_CAMPUS COMBINED,,PARTTIME,21450.0,GBP,631
1212,ARCHITECTURE,Mst In Interdisciplinary Design For The Built Environment,24.0,,English,CAMPUS,,PARTTIME,21450.0,GBP,631
1213,ARCHITECTURE,Mst In Interdisciplinary Design For The Built Environment,24.0,,English,ONLINE,,PARTTIME,21450.0,GBP,631
1214,ARCHITECTURE,March,24.0,,English,CAMPUS,,FULLTIME,23908.0,USD,619
1215,ARCHITECTURE,Master Of Arts In Urban Christian Ministries,,,English,,,,,,632
1216,ARCHITECTURE,Master Of Architecture,24.0,,English (Australia),CAMPUS,,FULLTIME,33300.0,AUD,567
1217,ARCHITECTURE,Master Of European Urban Studies Eu,16.0,,English,CAMPUS,,FULLTIME,250.0,EUR,634
1218,ARCHITECTURE,Master In Professional Studies City Science,16.0,,English,CAMPUS,,PARTTIME,35622.0,USD,34
1219,ARCHITECTURE,Msc Architecture,24.0,,English,CAMPUS,,FULLTIME,6500.0,USD,739
1220,ARCHITECTURE,Master In Urban Planning,,,English,CAMPUS,,,,,695
1221,ARCHITECTURE,Master Of Architecture,,,English,,,,,,567
1222,ARCHITECTURE,Master Of Architecture Professional,24.0,,English,CAMPUS,,FULLTIME,41400.0,NZD,638
1223,ARCHITECTURE,Master Of Architecture Professional,24.0,,English,ONLINE,,FULLTIME,41400.0,NZD,638
1224,ARCHITECTURE,Msc In Architecture,24.0,,English,CAMPUS,,FULLTIME,,,739
1225,ARCHITECTURE,Master In Urban Planning And Territorial Development,36.0,http://www.isuru.be/web/wp-content/uploads/2015/02/ISURU-Dossier-pedagogique.pdf,French,CAMPUS,,FULLTIME,600.0,EUR,639
1226,ARCHITECTURE,Master In Urban Planning And Territorial Development,36.0,http://www.isuru.be/web/wp-content/uploads/2015/02/ISURU-Dossier-pedagogique.pdf,French,CAMPUS,,PARTTIME,600.0,EUR,639
1227,ARCHITECTURE,Ma City Design,,,English,CAMPUS,,FULLTIME,,,640
1228,ARCHITECTURE,Master In Architecture,24.0,,English,CAMPUS,,FULLTIME,8500.0,USD,567
1229,ARCHITECTURE,Architecture Energy Perfclimate Responsive Arch Ms,24.0,,English,CAMPUS,,FULLTIME,,,641
1230,ARCHITECTURE,Msc In Urban Regeneration And Development,24.0,,English,CAMPUS,,FULLTIME,21000.0,GBP,642
1231,ARCHITECTURE,Msc In Urban Regeneration And Development,24.0,,English,CAMPUS,,PARTTIME,21000.0,GBP,642
1232,ARCHITECTURE,Msc Sustainability And Adaptation In The Built Environment,24.0,,English,CAMPUS,,FULLTIME,6250.0,GBP,643
1233,ARCHITECTURE,Msc Sustainability And Adaptation In The Built Environment,24.0,,English,CAMPUS,,PARTTIME,6250.0,GBP,643
1234,ARCHITECTURE,Msc Sustainability And Adaptation In The Built Environment,24.0,,English,ONLINE,,FULLTIME,6250.0,GBP,643
1235,ARCHITECTURE,Msc Sustainability And Adaptation In The Built Environment,24.0,,English,ONLINE,,PARTTIME,6250.0,GBP,643
1236,ARCHITECTURE,Ma Architecture,24.0,,English,CAMPUS,,FULLTIME,2800.0,EUR,208
1237,ARCHITECTURE,Masters Of Sustainable Architecture,24.0,,,CAMPUS,,FULLTIME,12000.0,GBP,643
1238,ARCHITECTURE,Master Of Professional Studies In Sustainable Urban Planning,24.0,,English,CAMPUS,,FULLTIME,65700.0,USD,645
1239,ARCHITECTURE,Master In Regional And Rural Development Planning Rrdp,16.0,,,CAMPUS,,FULLTIME,,,646
1240,ARCHITECTURE,Master In Regional Planning And Development,12.0,,English,CAMPUS,,FULLTIME,3200.0,EUR,618
1241,ARCHITECTURE,Masters Degree In Landscape Architecture Mblandarch,,,Catalan,CAMPUS,,,,,648
1242,ARCHITECTURE,Master Of Sustainable Environments And Planning Professional,23.0,,,CAMPUS,,FULLTIME,57265.0,AUD,132
1243,ARCHITECTURE,Master In Residential Public And Industrial Architecture,24.0,,Russian,CAMPUS,,FULLTIME,,,74
1244,ARCHITECTURE,Master Of Urban Educational Leadership,,,English,,,,,,599
1245,ARCHITECTURE,Master In Sustainable Architecture Urban Design,,,Spanish (Mexican),CAMPUS,,,,,649
1246,ARCHITECTURE,Master Of Sustainable Real Estate Development,24.0,,English,CAMPUS,,FULLTIME,56900.0,USD,650
1247,ARCHITECTURE,Master Of Sustainable Real Estate Development,24.0,,English,CAMPUS,,PARTTIME,56900.0,USD,650
1248,ARCHITECTURE,Msc In Architecture Built Environment Interiors,24.0,,English,CAMPUS,,FULLTIME,3898.0,EUR,617
1249,ARCHITECTURE,Msc In Architecture Built Environment Interiors,24.0,,Italian,CAMPUS,,FULLTIME,3898.0,EUR,617
1250,ARCHITECTURE,Ma Architectural Design,,,English,CAMPUS,,FULLTIME,15700.0,GBP,243
1251,ARCHITECTURE,Master In Architecture March,60.0,https://www.lincoln.ac.uk/home/studywithus/internationalstudents/entryrequirementsandyourcountry/,English,CAMPUS,,FULLTIME,15900.0,GBP,776
1252,ARCHITECTURE,Master In Architecture March,60.0,https://www.lincoln.ac.uk/home/studywithus/internationalstudents/entryrequirementsandyourcountry/,English,CAMPUS,,PARTTIME,15900.0,GBP,776
1253,ARCHITECTURE,Masters Degree In Architectural Rehabilitation,,,Spanish,CAMPUS,,FULLTIME,1463.0,EUR,326
1254,ARCHITECTURE,Master Of Architecture Dmae,24.0,https://i.unisa.edu.au/students/student-support-services/career-services/students-graduates/events-and-workshops/,English,CAMPUS,,FULLTIME,35900.0,AUD,776
1255,ARCHITECTURE,Master Of City And Regional Planning,0.0,,English,CAMPUS,,FULLTIME,10828.0,USD,772
1256,ARCHITECTURE,Master In Urban Development,,,Spanish (Mexican),CAMPUS,,,,,2772
1257,ARCHITECTURE,Master Of Architecture And Urbanism,,,Portuguese (Brazil),CAMPUS,,,,,764
1258,ARCHITECTURE,Master In Urban Planning,24.0,,,CAMPUS,,FULLTIME,1100.0,EUR,695
1259,ARCHITECTURE,Master In Architecture And Construction,24.0,,English,CAMPUS,,FULLTIME,4000.0,EUR,655
1260,ARCHITECTURE,Master Of Architecture,,,English,,,,,,567
1261,ARCHITECTURE,Master Of Architecture,,,English,,,,,,567
1262,ARCHITECTURE,Msc In Urban Environment Sustainability And Climate Change Naturebased Solutions For Smart And Resilient Cities,,,English,CAMPUS,,FULLTIME,14900.0,EUR,18
1263,ARCHITECTURE,Master In Planning And Sustainability Urban And Regional Planning Psurp,8.0,,English,CAMPUS,,FULLTIME,,,658
1264,ARCHITECTURE,Master Of City And Regional Planning,,,English,CAMPUS,,,,,772
1265,ARCHITECTURE,Masters In Architecture,24.0,,Italian,ONLINE_AND_CAMPUS COMBINED,,FULLTIME,,,567
1266,ARCHITECTURE,Masters In Architecture,24.0,,Italian,ONLINE_AND_CAMPUS COMBINED,,PARTTIME,,,567
1267,ARCHITECTURE,Masters In Architecture,24.0,,Italian,CAMPUS,,FULLTIME,,,567
1268,ARCHITECTURE,Masters In Architecture,24.0,,Italian,CAMPUS,,PARTTIME,,,567
1269,ARCHITECTURE,Masters In Architecture,24.0,,Italian,ONLINE,,FULLTIME,,,567
