name,image_url
Southern New Hampshire University,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/12/122066_SNHU-Abbreviated1.png"
Reinhardt University,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/14/140052_reinhardt.png"
GISMA ULaw,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/12/127541_GISMAULawLogo720x720.png"
Rostov State University of Economics,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/92/92570_thumb.jpg"
ENACO,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/93/93070_thumb.jpg"
AIHE Academic Institute for Higher Education GmbH,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/14/142884_Logo2020Regular.jpg"
Columbia Southern University College of Safety and Emergency Services,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/14/146231_logo_Email_250x85.png"
Cyprus International Institute of Management,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/14/147695_ciim-logo.jpg"
Campbellsville University Online,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/12/126576_CU-logo-online-2c.jpg"
Wroclaw University of Science and Technology,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/15/155970_WUSTLogo_1000x240px.png"
Porto Polytechnic Institute,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/15/155735_porto.png"
Dublin City University,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/94/94489_thumb.jpg"
Anna Maria College Online,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/11/113204_AMC_Red-Vertical-02.png"
Georgia Southern University,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/11/114625_17796625_10155150600559042_6379167554867800422_n.jpg"
Trinity College Dublin - Business School,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/94/94906_thumb.jpg"
"Johns Hopkins University, Advanced Academic Programs","https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/97/97065_thumb.jpg"
Brandman University,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/14/145617_BrandmanLogoVerticalfeatured.jpg"
Swansea University,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/96/96266_thumb.jpg"
Point Park University School of Education,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/14/147557_stsmall845x845-pad1000x1000f8f8f8.jpg"
Australian Maritime College,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/15/154006_amc-logo.png"
New Mexico State University College of Arts and Sciences,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/14/140586_newmexicoartssciences.jpeg"
Steinbeis University Berlin Institute Corporate Responsibility Management,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/95/95166_thumb.png"
Learn chile,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/16/167732_Capturadepantalla2021-08-17alas10.04.42.png"
Maranatha Baptist University,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/15/151188_Maranatha.jpg"
University Of Evry Val D'Essonne - UEVE,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/14/146004_University_of_Evry_Val_dEssonne_logo.png"
Informa Connect,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/13/139160_Informa_Connect_Logo_2Line_Indigo_Grad_RGB.jpg"
Albany State University,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/97/97367_thumb.png"
University of Wroclaw,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/15/153600_logo_UWr.png"
Universidad Internacional de Andalucía UNIA,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/14/148714_102556433_3584604838232894_8911299102944748706_n.jpg"
UNAM Universidad Nacional Autonoma de Mexico (National Autonomous University of Mexico),"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/16/165439_Capturadepantalla2021-06-23alas9.56.38.png"
Gori State Teaching University,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/14/145420_logo_eng.png"
Eötvös Loránd University,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/16/165972_csakcimerkekjp.jpg"
Hertie School,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/12/126425_HertieSchool_RGB.jpg"
University of Wollongong Faculty of Business,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/97/97093_thumb.png"
Sunway University,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/10/104641_main.png"
Lipscomb University,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/15/151925_OIP26.jfif"
