id,name,language,mode,schedule,deadline,field,url,tution_currency,university_id,duration,tution_amount
16583,Master In Specialized Translation,English,CAMPUS,FULLTIME,,HUMANITIES,https://www.unibo.it/en/university/covid-19-The-measures-adopted-by-the-University-of-Bologna/covid-misure-universita-di-bologna/?utm_source=Keystone&utm_campaign=Keystone&utm_medium=KeystoneListing,,1638,24,
16584,Master In Philosophy,English,CAMPUS,FULLTIME,,HUMANITIES,,GBP,,24,9900
16585,Master In Philosophy,English,CAMPUS,PARTTIME,,HUMANITIES,,GBP,,24,9900
16586,Convergence Journalism In The Masscommunication System,,CAMPUS,FULLTIME,,HUMANITIES,,,1377,24,
16587,Ma Japanese Studies,English,CAMPUS,FULLTIME,,HUMANITIES,,GBP,731,36,11520
16588,Ma Japanese Studies,English,CAMPUS,PARTTIME,,HUMANITIES,,GBP,731,36,11520
16589,Master Of Arts In Colonial And Postcolonial Studies,English,CAMPUS,FULLTIME,,HUMANITIES,,SEK,120,24,220000
16590,Master Of Applied Linguistics,English,CAMPUS,FULLTIME,,HUMANITIES,,,638,60,
16591,Master Of Applied Linguistics,English,CAMPUS,PARTTIME,,HUMANITIES,,,638,60,
16592,Master Of Applied Linguistics,English,ONLINE,FULLTIME,,HUMANITIES,,,638,60,
16593,Master Of Applied Linguistics,English,ONLINE,PARTTIME,,HUMANITIES,,,638,60,
16594,Master Of Theology,English,CAMPUS,,,HUMANITIES,,,2245,,
16595,Masters Degree Pastoral Training In The Reformed Lutheran And Unitarian Churches,Rumenian,CAMPUS,,,HUMANITIES,,,3489,,
16596,Master Of Theology,English,,,,HUMANITIES,,,2245,,
16597,Specialised Master In International Studies Program,English,,,,HUMANITIES,,,3490,,
16598,Specialised Master In International Studies Program,Ungarian,,,,HUMANITIES,,,3490,,
16599,Master Of Arts In English,English,CAMPUS,FULLTIME,,HUMANITIES,,,3402,36,
16600,Master Of Arts In English,English,CAMPUS,PARTTIME,,HUMANITIES,,,3402,36,
16601,Masters Of Science And Doctor Of Philosophy Degree Programs,English,,,,HUMANITIES,,,3492,,
16602,University Masters Degree In Medieval Studies,Spanish,CAMPUS,FULLTIME,,HUMANITIES,https://www.ucm.es/masterestudiosmedievales,EUR,338,8,45
16603,University Masters Degree In Medieval Studies,Spanish,CAMPUS,PARTTIME,,HUMANITIES,https://www.ucm.es/masterestudiosmedievales,EUR,338,8,45
16604,Msc In Islam And Christianmuslim Relations,English,CAMPUS,FULLTIME,,HUMANITIES,,GBP,3104,24,11300
16605,Msc In Islam And Christianmuslim Relations,English,CAMPUS,PARTTIME,,HUMANITIES,,GBP,3104,24,11300
16606,Master Of Divinity Mdiv,English,ONLINE,FULLTIME,,HUMANITIES,,CAD,3548,72,345
16607,Master Of Divinity Mdiv,English,ONLINE,PARTTIME,,HUMANITIES,,CAD,3548,72,345
16608,Master Of Arts In Literature,English,CAMPUS,FULLTIME,,HUMANITIES,,USD,146,24,18276
16609,Master Of Arts In Literature,English,CAMPUS,PARTTIME,,HUMANITIES,,USD,146,24,18276
16610,Master Of Divinity,English,CAMPUS,,,HUMANITIES,,,2301,,
