id,name,country,quality_of_life_index,purchasing_power_index,safety_index,health_care_index,cost_of_living_index,property_price_to_income_ratio,traffic_commute_time_index,pollution_index,climate_index
755,Colombo,Sri Lanka,62.66,18.83,59.5,71.87,32.80,48.44,62.17,60.41,59.11
756,Khartoum,Sudan,50.25,5.86,63.78,46.78,43.57,38.44,42.0,74.83,32.95
757,Paramaribo,Suriname,102.59,16.59,46.42,43.14,48.40,9.83,33.0,52.13,64.25
758,Manzini,Swaziland,NULL,NULL,93.38,52.78,NULL,NULL,48.5,30.17,97.00
759,Mbabane,Swaziland,NULL,NULL,69.19,63.89,NULL,1.48,13.5,19.83,97.81
760,Gothenburg,Sweden,176.02,99.26,51.79,69.14,74.11,9.08,25.55,20.7,77.49
761,Helsingborg,Sweden,166.26,100.88,44.25,90.97,67.65,7.34,19.0,52.84,78.69
762,Hssleholm,Sweden,NULL,NULL,100.0,91.67,NULL,6.85,85.0,0.0,NULL
763,Kalmar,Sweden,186.00,69.04,58.49,84.72,71.54,5.80,13.0,15.52,75.14
764,Karlskrona,Sweden,NULL,NULL,59.83,20.83,NULL,NULL,33.0,3.45,73.94
765,Nykping,Sweden,NULL,NULL,93.75,75.0,NULL,23.70,100.0,27.59,68.63
766,Solna,Sweden,NULL,NULL,63.28,66.67,NULL,11.73,29.0,41.95,69.59
767,Stockholm,Sweden,161.53,90.99,54.15,66.37,79.32,13.11,35.38,19.48,69.67
768,Sundsvall,Sweden,NULL,NULL,60.84,76.85,NULL,3.46,13.0,17.39,46.71
769,Umea,Sweden,191.84,85.52,70.62,89.08,73.94,6.75,24.25,2.18,43.24
770,Geneva,Switzerland,190.18,116.24,73.36,73.95,117.46,9.52,25.49,24.16,82.61
771,Zurich,Switzerland,200.22,128.69,83.25,74.43,128.76,7.93,34.03,18.0,81.48
772,Aleppo,Syria,NULL,NULL,24.88,41.67,NULL,79.58,37.0,75.69,90.08
773,Damascus,Syria,0.00,5.18,32.15,35.6,36.08,100.74,41.67,67.56,70.11
774,Tartus,Syria,77.84,7.18,69.51,80.56,27.17,45.72,24.4,94.83,95.54
775,Kaohsiung,Taiwan,135.30,53.30,76.0,86.62,62.67,12.92,26.64,78.65,78.82
776,Tainan,Taiwan,NULL,49.00,84.41,90.08,83.36,17.12,18.33,70.4,NULL
777,Taipei,Taiwan,140.37,59.64,86.67,87.42,65.76,32.98,33.9,50.11,84.38
778,Taoyuan,Taiwan,NULL,69.28,85.02,76.92,58.47,13.58,36.67,46.55,NULL
779,Dushanbe,Tajikistan,100.46,15.21,53.31,35.19,26.07,15.12,27.0,60.3,75.22
780,Mwanza,Tanzania,NULL,NULL,71.32,69.44,NULL,NULL,55.0,55.0,98.77
781,Bangkok,Thailand,85.36,30.29,58.27,77.08,48.47,26.77,46.18,77.22,58.39
782,Chiang Mai,Thailand,124.02,29.78,76.5,83.81,41.23,16.59,25.75,77.08,75.93
783,Hat Yai,Thailand,NULL,NULL,82.72,75.0,NULL,8.22,10.0,31.03,59.83
784,Khon Kaen,Thailand,NULL,NULL,72.06,67.78,NULL,12.93,10.0,62.05,69.73
785,Koh Samui,Thailand,NULL,NULL,60.7,83.33,NULL,5.98,28.0,86.49,53.87
786,Phuket,Thailand,116.08,27.21,55.06,74.25,43.43,18.78,36.36,50.34,68.52
787,Si Sa Ket,Thailand,NULL,NULL,63.24,55.56,NULL,NULL,30.0,34.48,62.02
788,Surin,Thailand,NULL,NULL,36.76,72.22,NULL,NULL,45.0,37.93,68.52
789,Dili,Timorleste,NULL,10.64,57.37,54.58,54.65,63.24,25.0,62.96,NULL
790,Chaguanas,Trinidad And Tobago,NULL,NULL,25.82,66.67,NULL,11.23,33.33,88.45,66.25
791,San Juan,Trinidad And Tobago,126.38,67.23,30.98,63.45,69.68,5.54,37.46,50.83,71.25
792,Al Marsa,Tunisia,155.83,23.36,71.9,64.81,32.24,12.16,29.5,24.78,93.80
793,Ben Arous,Tunisia,91.21,39.69,45.89,47.41,25.29,9.29,95.0,57.47,93.17
794,Djerba,Tunisia,NULL,NULL,73.04,70.83,NULL,8.73,18.5,58.47,94.49
795,Gabes,Tunisia,80.22,26.44,61.15,52.78,27.97,31.33,25.0,97.19,88.15
796,Jendouba,Tunisia,NULL,NULL,21.32,25.0,NULL,2.67,0.0,51.72,85.29
797,Sfax,Tunisia,102.22,27.18,62.72,44.44,25.17,12.76,20.0,96.03,94.52
798,Sousse,Tunisia,120.21,29.54,48.35,64.58,27.75,11.17,26.25,69.71,95.79
799,Tunis,Tunisia,103.39,24.46,52.2,54.14,29.89,14.89,37.88,72.62,93.24
800,Adana,Turkey,NULL,NULL,49.03,78.54,NULL,6.82,27.89,33.55,88.99
801,Alanya,Turkey,NULL,NULL,78.28,97.22,NULL,9.53,12.25,17.82,NULL
802,Ankara,Turkey,131.14,37.75,60.49,69.1,21.78,8.39,36.35,65.4,91.49
803,Antalya,Turkey,155.47,35.21,74.08,76.35,21.58,11.47,32.96,39.88,91.52
804,Bursa,Turkey,156.39,34.18,71.9,78.58,21.96,7.40,33.0,44.54,93.39
805,Fethiye,Turkey,NULL,NULL,76.36,87.96,NULL,10.62,20.0,18.97,NULL
806,Gaziantep,Turkey,NULL,NULL,61.58,66.67,NULL,6.87,16.0,63.32,73.21
807,Isparta,Turkey,NULL,NULL,92.65,66.67,NULL,5.83,80.0,67.82,NULL
808,Istanbul,Turkey,109.43,30.91,52.71,69.26,23.32,13.32,52.51,69.14,93.02
809,Istanbul,Turkey,109.43,30.91,52.71,69.26,23.32,13.32,52.51,69.14,93.02
810,Izmir,Turkey,137.80,35.99,70.13,72.73,21.56,11.73,39.5,59.12,96.88
811,Kahramanmaras,Turkey,NULL,NULL,67.65,88.89,NULL,4.34,15.0,89.66,74.02
812,Kayseri,Turkey,128.79,37.97,74.32,55.95,21.81,5.10,23.0,73.56,65.66
813,Malatya,Turkey,NULL,NULL,69.26,75.0,NULL,3.97,37.5,69.83,66.36
814,Mersin,Turkey,NULL,46.86,58.94,62.36,18.63,4.45,15.0,40.0,NULL
815,Samsun,Turkey,NULL,NULL,68.98,68.4,NULL,3.33,34.11,69.81,90.31
816,Trabzon,Turkey,NULL,NULL,83.55,89.35,NULL,5.87,7.5,58.43,93.56
817,Yalova,Turkey,NULL,NULL,64.54,52.78,NULL,NULL,37.5,46.91,NULL
818,Ashgabat,Turkmenistan,109.00,11.84,63.5,50.0,132.36,22.34,15.8,38.36,64.68
819,Kampala,Uganda,0.00,9.26,45.36,47.51,34.97,"1,484.08",42.64,90.14,98.41
820,Kharkiv,Ukraine,110.06,33.19,51.84,47.5,31.27,10.49,37.82,56.09,65.35
821,Lugansk,Ukraine,NULL,NULL,13.9,61.57,NULL,NULL,25.0,43.1,64.91
822,Lviv,Ukraine,126.63,37.08,60.46,59.12,30.86,11.07,33.22,51.77,69.61
823,Mariupol,Ukraine,NULL,NULL,68.77,50.0,NULL,NULL,30.0,91.09,NULL
